Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,AirTime,Origin,Dest,Distance
2008,1,3,4,1614,1600,1833,1825,60,LAS,ABQ,487
2008,1,3,4,1917,1915,2136,2140,60,LAS,ABQ,487
2008,1,3,4,1832,1655,148,30,243,LAS,ALB,2237
2008,1,3,4,1229,1155,1633,1555,91,LAS,AMA,758
2008,1,3,4,1256,1240,1724,1720,131,LAS,AUS,1090
2008,1,3,4,2118,2015,144,50,127,LAS,AUS,1090
2008,1,3,4,905,850,1334,1330,135,LAS,AUS,1090
2008,1,3,4,1739,1640,114,25,253,LAS,BDL,2298
2008,1,3,4,906,905,1426,1430,183,LAS,BHM,1618
2008,1,3,4,816,815,1339,1340,185,LAS,BNA,1588
2008,1,3,4,1325,1240,1841,1810,178,LAS,BNA,1588
2008,1,3,4,1506,1440,2030,2010,183,LAS,BNA,1588
2008,1,3,4,2039,1930,155,55,177,LAS,BNA,1588
2008,1,3,4,924,920,1209,1210,84,LAS,BOI,520
2008,1,3,4,1611,1535,1849,1825,73,LAS,BOI,520
2008,1,3,4,1824,1715,117,25,221,LAS,BUF,1987
2008,1,3,4,826,825,930,925,46,LAS,BUR,223
2008,1,3,4,2118,2015,2224,2115,46,LAS,BUR,223
2008,1,3,4,1818,1740,1916,1840,46,LAS,BUR,223
2008,1,3,4,650,650,748,750,47,LAS,BUR,223
2008,1,3,4,2146,2055,2250,2155,48,LAS,BUR,223
2008,1,3,4,2241,1910,2340,2010,43,LAS,BUR,223
2008,1,3,4,1409,1355,1513,1500,50,LAS,BUR,223
2008,1,3,4,1100,1050,1157,1155,46,LAS,BUR,223
2008,1,3,4,1306,1250,1406,1355,47,LAS,BUR,223
2008,1,3,4,1726,1630,1832,1740,46,LAS,BUR,223
2008,1,3,4,915,915,1017,1020,46,LAS,BUR,223
2008,1,3,4,1229,1220,1342,1325,47,LAS,BUR,223
2008,1,3,4,1459,1455,1556,1555,42,LAS,BUR,223
2008,1,3,4,908,845,1628,1610,244,LAS,BWI,2106
2008,1,3,4,1817,1730,122,50,230,LAS,BWI,2106
2008,1,3,4,1248,1245,2009,2015,243,LAS,BWI,2106
2008,1,3,4,956,945,1658,1645,213,LAS,CLE,1825
2008,1,3,4,1849,1740,121,30,195,LAS,CMH,1772
2008,1,3,4,1210,1200,1905,1850,201,LAS,CMH,1772
2008,1,3,4,701,700,941,955,84,LAS,DEN,629
2008,1,3,4,1047,1030,1328,1320,79,LAS,DEN,629
2008,1,3,4,2232,2115,108,5,77,LAS,DEN,629
2008,1,3,4,1512,1315,1802,1610,88,LAS,DEN,629
2008,1,3,4,2025,1955,2301,2245,78,LAS,DEN,629
2008,1,3,4,1439,1425,1720,1720,85,LAS,DEN,629
2008,1,3,4,1627,1600,1916,1900,80,LAS,DEN,629
2008,1,3,4,1745,1710,2017,1945,78,LAS,ELP,584
2008,1,3,4,1049,1040,1320,1320,73,LAS,ELP,584
2008,1,3,4,1117,1050,1325,1325,116,LAS,GEG,806
2008,1,3,4,1725,1620,1940,1850,116,LAS,GEG,806
2008,1,3,4,1824,1735,2303,2230,143,LAS,HOU,1235
2008,1,3,4,1150,1140,1644,1640,147,LAS,HOU,1235
2008,1,3,4,749,740,1227,1235,146,LAS,HOU,1235
2008,1,3,4,2051,2010,134,55,150,LAS,HOU,1235
2008,1,3,4,1555,1525,2307,2245,232,LAS,IAD,2066
2008,1,3,4,2255,1820,509,55,176,LAS,IND,1591
2008,1,3,4,1129,1050,1757,1725,179,LAS,IND,1591
2008,1,3,4,1602,1510,2357,2255,269,LAS,ISP,2283
2008,1,3,4,1738,1715,1838,1820,42,LAS,LAX,236
2008,1,3,4,2207,2150,2306,2255,40,LAS,LAX,236
2008,1,3,4,1851,1825,2004,1930,41,LAS,LAX,236
2008,1,3,4,701,645,802,745,42,LAS,LAX,236
2008,1,3,4,1556,1455,1704,1600,41,LAS,LAX,236
2008,1,3,4,1254,1250,1404,1355,43,LAS,LAX,236
2008,1,3,4,840,840,946,945,43,LAS,LAX,236
2008,1,3,4,1540,1525,1648,1630,47,LAS,LAX,236
2008,1,3,4,750,750,901,855,52,LAS,LAX,236
2008,1,3,4,1228,1200,1340,1310,43,LAS,LAX,236
2008,1,3,4,2047,2005,2209,2115,45,LAS,LAX,236
2008,1,3,4,2158,2120,2303,2225,44,LAS,LAX,236
2008,1,3,4,1028,1025,1132,1135,45,LAS,LAX,236
2008,1,3,4,1423,1420,1530,1525,44,LAS,LAX,236
2008,1,3,4,1147,1100,1541,1500,90,LAS,LBB,775
2008,1,3,4,859,850,1343,1345,148,LAS,LIT,1295
2008,1,3,4,1140,1110,1537,1510,95,LAS,MAF,796
2008,1,3,4,1226,1210,1721,1700,139,LAS,MCI,1140
2008,1,3,4,2118,2005,154,50,131,LAS,MCI,1140
2008,1,3,4,2003,1905,26,2350,130,LAS,MCI,1140
2008,1,3,4,1622,1510,2059,2000,130,LAS,MCI,1140
2008,1,3,4,648,650,1123,1135,137,LAS,MCI,1140
2008,1,3,4,1003,940,1441,1430,136,LAS,MCI,1140
2008,1,3,4,1319,1300,2033,2025,234,LAS,MCO,2039
2008,1,3,4,1506,1500,2122,2030,177,LAS,MDW,1521
2008,1,3,4,648,645,1205,1210,182,LAS,MDW,1521
2008,1,3,4,1052,1050,1603,1620,175,LAS,MDW,1521
2008,1,3,4,1424,1415,1941,1945,177,LAS,MDW,1521
2008,1,3,4,1211,1145,1750,1720,175,LAS,MDW,1521
2008,1,3,4,814,755,1334,1320,181,LAS,MDW,1521
2008,1,3,4,934,935,1453,1505,177,LAS,MDW,1521
2008,1,3,4,1708,1700,2214,2230,169,LAS,MDW,1521
2008,1,3,4,1919,1845,31,5,171,LAS,MDW,1521
2008,1,3,4,1945,1815,52,2335,168,LAS,MDW,1521
2008,1,3,4,2057,1930,202,50,171,LAS,MDW,1521
2008,1,3,4,1354,1310,1907,1845,177,LAS,MDW,1521
2008,1,3,4,1703,1645,33,35,257,LAS,MHT,2356
2008,1,3,4,1030,1030,1545,1545,174,LAS,MSY,1501
2008,1,3,4,1903,1825,5,2340,166,LAS,MSY,1501
2008,1,3,4,1108,1110,1244,1240,80,LAS,OAK,407
2008,1,3,4,,700,,830,,LAS,OAK,407
2008,1,3,4,1354,1345,1525,1520,74,LAS,OAK,407
2008,1,3,4,1944,1740,2110,1915,72,LAS,OAK,407
2008,1,3,4,1251,1205,1425,1345,76,LAS,OAK,407
2008,1,3,4,1548,1505,1728,1635,78,LAS,OAK,407
2008,1,3,4,821,820,955,950,72,LAS,OAK,407
2008,1,3,4,2216,2125,2348,2255,78,LAS,OAK,407
2008,1,3,4,2010,1900,2203,2030,77,LAS,OAK,407
2008,1,3,4,1433,1420,1608,1555,79,LAS,OAK,407
2008,1,3,4,935,925,1106,1055,71,LAS,OAK,407
2008,1,3,4,2156,2155,2334,2325,83,LAS,OAK,407
2008,1,3,4,2035,2020,2209,2150,81,LAS,OAK,407
2008,1,3,4,602,600,733,730,76,LAS,OAK,407
2008,1,3,4,1152,1145,1616,1605,116,LAS,OKC,987
2008,1,3,4,1435,1315,1859,1755,132,LAS,OMA,1099
2008,1,3,4,2049,1920,106,2355,125,LAS,OMA,1099
2008,1,3,4,913,910,1342,1350,131,LAS,OMA,1099
2008,1,3,4,1613,1610,1721,1705,38,LAS,ONT,197
2008,1,3,4,2015,1945,2101,2040,34,LAS,ONT,197
2008,1,3,4,655,655,742,750,35,LAS,ONT,197
2008,1,3,4,1438,1435,1533,1530,33,LAS,ONT,197
2008,1,3,4,1102,1030,1152,1125,36,LAS,ONT,197
2008,1,3,4,2218,2120,2308,2210,36,LAS,ONT,197
2008,1,3,4,851,835,938,930,34,LAS,ONT,197
2008,1,3,4,1230,1215,1331,1310,36,LAS,ONT,197
2008,1,3,4,1838,1800,1930,1855,32,LAS,ONT,197
2008,1,3,4,1358,1330,1449,1425,37,LAS,ONT,197
2008,1,3,4,1757,1655,108,25,237,LAS,ORF,2155
2008,1,3,4,1816,1755,2022,2015,112,LAS,PDX,762
2008,1,3,4,755,755,958,1020,108,LAS,PDX,762
2008,1,3,4,1328,1255,1549,1520,106,LAS,PDX,762
2008,1,3,4,2134,2040,2343,2300,112,LAS,PDX,762
2008,1,3,4,1127,1045,1856,1835,245,LAS,PHL,2176
2008,1,3,4,1720,1700,41,45,244,LAS,PHL,2176
2008,1,3,4,559,600,800,805,43,LAS,PHX,256
2008,1,3,4,712,705,932,915,49,LAS,PHX,256
2008,1,3,4,1327,1320,1533,1530,50,LAS,PHX,256
2008,1,3,4,1817,1810,2016,2015,47,LAS,PHX,256
2008,1,3,4,1807,1740,2011,1950,49,LAS,PHX,256
2008,1,3,4,1712,1545,1914,1750,48,LAS,PHX,256
2008,1,3,4,1206,1205,1418,1415,47,LAS,PHX,256
2008,1,3,4,1134,1110,1343,1315,46,LAS,PHX,256
2008,1,3,4,1003,1005,1208,1215,49,LAS,PHX,256
2008,1,3,4,815,820,1034,1025,49,LAS,PHX,256
2008,1,3,4,2156,2110,2353,2310,43,LAS,PHX,256
2008,1,3,4,2140,2040,2334,2240,40,LAS,PHX,256
2008,1,3,4,631,635,832,840,44,LAS,PHX,256
2008,1,3,4,1521,1450,1725,1655,46,LAS,PHX,256
2008,1,3,4,2100,1945,2255,2150,43,LAS,PHX,256
2008,1,3,4,1657,1630,1905,1845,49,LAS,PHX,256
2008,1,3,4,926,915,1129,1120,44,LAS,PHX,256
2008,1,3,4,1413,1415,1612,1620,44,LAS,PHX,256
2008,1,3,4,1825,1745,114,50,210,LAS,PIT,1910
2008,1,3,4,927,915,1631,1620,218,LAS,PIT,1910
2008,1,3,4,1630,1600,23,2350,266,LAS,PVD,2363
2008,1,3,4,1136,1120,1852,1840,231,LAS,RDU,2027
2008,1,3,4,1824,1725,121,45,222,LAS,RDU,2027
2008,1,3,4,1716,1630,1830,1755,60,LAS,RNO,345
2008,1,3,4,1928,1855,2034,2015,54,LAS,RNO,345
2008,1,3,4,709,710,816,830,55,LAS,RNO,345
2008,1,3,4,1741,1730,1905,1850,57,LAS,RNO,345
2008,1,3,4,1609,1540,1732,1700,55,LAS,RNO,345
2008,1,3,4,913,840,1029,955,61,LAS,RNO,345
2008,1,3,4,2215,2200,2334,2315,57,LAS,RNO,345
2008,1,3,4,2137,2040,2251,2155,56,LAS,RNO,345
2008,1,3,4,624,625,729,740,52,LAS,RNO,345
2008,1,3,4,1100,1020,1210,1145,54,LAS,RNO,345
2008,1,3,4,1313,1255,1437,1415,57,LAS,RNO,345
2008,1,3,4,1415,1350,1527,1510,56,LAS,RNO,345
2008,1,3,4,1108,1110,1221,1230,56,LAS,RNO,345
2008,1,3,4,1348,1330,1455,1435,51,LAS,SAN,258
2008,1,3,4,1221,1220,1329,1325,48,LAS,SAN,258
2008,1,3,4,2140,2050,2240,2150,45,LAS,SAN,258
2008,1,3,4,805,805,909,905,45,LAS,SAN,258
2008,1,3,4,1643,1625,1751,1735,46,LAS,SAN,258
2008,1,3,4,946,940,1045,1045,46,LAS,SAN,258
2008,1,3,4,1915,1905,2016,2005,44,LAS,SAN,258
2008,1,3,4,1839,1740,1945,1840,44,LAS,SAN,258
2008,1,3,4,2207,2125,2307,2225,49,LAS,SAN,258
2008,1,3,4,1503,1425,1604,1530,48,LAS,SAN,258
2008,1,3,4,1613,1515,1727,1615,47,LAS,SAN,258
2008,1,3,4,2248,2155,2346,2255,45,LAS,SAN,258
2008,1,3,4,612,615,713,715,46,LAS,SAN,258
2008,1,3,4,1118,1110,1225,1215,50,LAS,SAN,258
2008,1,3,4,1456,1445,1920,1920,126,LAS,SAT,1069
2008,1,3,4,2022,1935,36,5,122,LAS,SAT,1069
2008,1,3,4,1049,1040,1509,1510,127,LAS,SAT,1069
2008,1,3,4,753,750,1215,1220,125,LAS,SAT,1069
2008,1,3,4,1831,1810,110,45,192,LAS,SDF,1624
2008,1,3,4,1704,1645,1929,1930,129,LAS,SEA,866
2008,1,3,4,2017,2005,2241,2245,129,LAS,SEA,866
2008,1,3,4,639,640,859,925,124,LAS,SEA,866
2008,1,3,4,1117,1050,1330,1330,119,LAS,SEA,866
2008,1,3,4,1426,1355,1605,1530,75,LAS,SFO,414
2008,1,3,4,1009,910,1148,1045,76,LAS,SFO,414
2008,1,3,4,2021,1700,2303,1835,73,LAS,SFO,414
2008,1,3,4,2025,1905,2208,2040,88,LAS,SFO,414
2008,1,3,4,603,605,729,740,70,LAS,SFO,414
2008,1,3,4,2301,2105,59,2240,98,LAS,SFO,414
2008,1,3,4,1518,1215,1646,1350,72,LAS,SFO,414
2008,1,3,4,1307,1235,1432,1400,71,LAS,SJC,386
2008,1,3,4,615,610,746,730,74,LAS,SJC,386
2008,1,3,4,2017,1945,2144,2105,70,LAS,SJC,386
2008,1,3,4,1855,1855,2028,2020,67,LAS,SJC,386
2008,1,3,4,2114,2040,2241,2200,69,LAS,SJC,386
2008,1,3,4,1605,1520,1739,1645,68,LAS,SJC,386
2008,1,3,4,956,1000,1134,1125,70,LAS,SJC,386
2008,1,3,4,731,730,848,855,66,LAS,SJC,386
2008,1,3,4,1734,1655,1857,1820,66,LAS,SJC,386
2008,1,3,4,1139,1100,1408,1320,54,LAS,SLC,368
2008,1,3,4,2104,1905,2314,2120,58,LAS,SLC,368
2008,1,3,4,919,830,1132,1050,55,LAS,SLC,368
2008,1,3,4,2113,2050,2328,2305,58,LAS,SLC,368
2008,1,3,4,1712,1555,1935,1820,62,LAS,SLC,368
2008,1,3,4,1419,1355,1627,1615,55,LAS,SLC,368
2008,1,3,4,2242,2140,54,2355,55,LAS,SLC,368
2008,1,3,4,611,615,819,835,55,LAS,SLC,368
2008,1,3,4,1949,1910,2110,2035,66,LAS,SMF,397
2008,1,3,4,1409,1350,1539,1520,74,LAS,SMF,397
2008,1,3,4,637,640,759,805,65,LAS,SMF,397
2008,1,3,4,1821,1730,1946,1855,67,LAS,SMF,397
2008,1,3,4,916,905,1046,1035,68,LAS,SMF,397
2008,1,3,4,1134,1115,1302,1250,66,LAS,SMF,397
2008,1,3,4,1527,1515,1648,1645,68,LAS,SMF,397
2008,1,3,4,2115,2100,2236,2225,64,LAS,SMF,397
2008,1,3,4,1934,1935,2054,2035,43,LAS,SNA,226
2008,1,3,4,1305,1305,1358,1410,42,LAS,SNA,226
2008,1,3,4,1917,1820,2014,1925,40,LAS,SNA,226
2008,1,3,4,1125,1010,1224,1110,45,LAS,SNA,226
2008,1,3,4,1505,1500,1605,1605,43,LAS,SNA,226
2008,1,3,4,747,750,843,850,42,LAS,SNA,226
2008,1,3,4,1143,1050,1641,1600,151,LAS,STL,1372
2008,1,3,4,1558,1530,2049,2040,150,LAS,STL,1372
2008,1,3,4,1940,1855,29,2355,157,LAS,STL,1372
2008,1,3,4,1820,1725,112,35,217,LAS,TPA,1984
2008,1,3,4,1143,1035,1621,1505,126,LAS,TUL,1076
2008,1,3,4,2211,2115,17,2330,53,LAS,TUS,365
2008,1,3,4,1821,1725,2032,1940,56,LAS,TUS,365
2008,1,3,4,715,720,926,935,55,LAS,TUS,365
2008,1,3,4,1341,1320,1556,1535,55,LAS,TUS,365
2008,1,3,4,2108,2030,2313,2240,53,LAS,TUS,365
2008,1,3,4,1118,1050,1333,1305,54,LAS,TUS,365
2008,1,3,4,1735,1710,2010,1955,81,LAX,ABQ,677
2008,1,3,4,2105,2025,2342,2310,82,LAX,ABQ,677
2008,1,3,4,1328,1315,1611,1600,80,LAX,ABQ,677
2008,1,3,4,944,940,1218,1225,82,LAX,ABQ,677
2008,1,3,4,1024,1015,1504,1505,148,LAX,AUS,1242
2008,1,3,4,820,815,1357,1400,200,LAX,BNA,1797
2008,1,3,4,1632,1540,2207,2125,203,LAX,BNA,1797
2008,1,3,4,1327,1255,1902,1840,200,LAX,BNA,1797
2008,1,3,4,1330,1320,1609,1615,86,LAX,ELP,714
2008,1,3,4,1925,1735,2201,2025,85,LAX,ELP,714
2008,1,3,4,1005,945,1250,1235,88,LAX,ELP,714
2008,1,3,4,1149,1145,1639,1650,156,LAX,HOU,1390
2008,1,3,4,1742,1625,2231,2125,157,LAX,HOU,1390
2008,1,3,4,807,805,1301,1310,163,LAX,HOU,1390
2008,1,3,4,2020,1935,109,35,159,LAX,HOU,1390
2008,1,3,4,1501,1425,1554,1530,41,LAX,LAS,236
2008,1,3,4,1205,1135,1313,1240,47,LAX,LAS,236
2008,1,3,4,1652,1640,1748,1745,41,LAX,LAS,236
2008,1,3,4,922,855,1102,1000,44,LAX,LAS,236
2008,1,3,4,1835,1740,1931,1840,42,LAX,LAS,236
2008,1,3,4,1027,1015,1151,1120,43,LAX,LAS,236
2008,1,3,4,626,625,724,730,45,LAX,LAS,236
2008,1,3,4,1533,1530,1631,1635,46,LAX,LAS,236
2008,1,3,4,1910,1845,2026,1950,42,LAX,LAS,236
2008,1,3,4,744,740,838,840,46,LAX,LAS,236
2008,1,3,4,2109,2100,2212,2205,41,LAX,LAS,236
2008,1,3,4,2237,2140,2335,2245,47,LAX,LAS,236
2008,1,3,4,2025,1955,2120,2055,43,LAX,LAS,236
2008,1,3,4,1423,1335,1519,1440,42,LAX,LAS,236
2008,1,3,4,1337,1310,1825,1825,154,LAX,MCI,1363
2008,1,3,4,1142,1125,1626,1640,156,LAX,MCI,1363
2008,1,3,4,1928,1835,22,2345,159,LAX,MCI,1363
2008,1,3,4,634,630,1133,1140,169,LAX,MCI,1363
2008,1,3,4,1713,1625,2242,2215,192,LAX,MDW,1750
2008,1,3,4,853,850,1431,1440,205,LAX,MDW,1750
2008,1,3,4,1255,1240,1825,1835,201,LAX,MDW,1750
2008,1,3,4,1453,1445,2130,2040,202,LAX,MDW,1750
2008,1,3,4,1001,945,1550,1540,201,LAX,MDW,1750
2008,1,3,4,630,625,1209,1220,206,LAX,MDW,1750
2008,1,3,4,1831,1755,1,2350,195,LAX,MDW,1750
2008,1,3,4,1030,1000,1142,1115,62,LAX,OAK,337
2008,1,3,4,2004,1900,2127,2015,66,LAX,OAK,337
2008,1,3,4,923,900,1114,1015,63,LAX,OAK,337
2008,1,3,4,1419,1400,1534,1515,65,LAX,OAK,337
2008,1,3,4,1522,1500,1638,1615,65,LAX,OAK,337
2008,1,3,4,1803,1730,1933,1845,67,LAX,OAK,337
2008,1,3,4,2146,2100,2304,2215,65,LAX,OAK,337
2008,1,3,4,2001,1930,2118,2045,64,LAX,OAK,337
2008,1,3,4,1827,1800,1945,1915,63,LAX,OAK,337
2008,1,3,4,1904,1830,2019,1945,64,LAX,OAK,337
2008,1,3,4,1450,1430,1607,1545,64,LAX,OAK,337
2008,1,3,4,1722,1700,1836,1815,63,LAX,OAK,337
2008,1,3,4,1820,1630,1943,1745,71,LAX,OAK,337
2008,1,3,4,,1100,,1215,,LAX,OAK,337
2008,1,3,4,1623,1600,1753,1715,70,LAX,OAK,337
2008,1,3,4,2008,2000,2136,2115,67,LAX,OAK,337
2008,1,3,4,1301,1300,1422,1415,65,LAX,OAK,337
2008,1,3,4,601,600,711,720,60,LAX,OAK,337
2008,1,3,4,808,800,921,915,62,LAX,OAK,337
2008,1,3,4,1206,1200,1328,1315,63,LAX,OAK,337
2008,1,3,4,700,700,816,815,62,LAX,OAK,337
2008,1,3,4,1609,1600,1819,1815,56,LAX,PHX,370
2008,1,3,4,1811,1725,2016,1940,52,LAX,PHX,370
2008,1,3,4,815,815,1034,1030,56,LAX,PHX,370
2008,1,3,4,600,600,805,815,51,LAX,PHX,370
2008,1,3,4,1851,1830,2059,2045,59,LAX,PHX,370
2008,1,3,4,2020,1905,2225,2115,56,LAX,PHX,370
2008,1,3,4,1204,1150,1407,1405,53,LAX,PHX,370
2008,1,3,4,2116,2040,2318,2250,53,LAX,PHX,370
2008,1,3,4,1556,1440,1804,1655,52,LAX,PHX,370
2008,1,3,4,1040,1005,1241,1220,50,LAX,PHX,370
2008,1,3,4,940,920,1149,1135,52,LAX,PHX,370
2008,1,3,4,1419,1335,1624,1550,53,LAX,PHX,370
2008,1,3,4,635,635,840,850,53,LAX,PHX,370
2008,1,3,4,1738,1720,1848,1835,58,LAX,RNO,390
2008,1,3,4,853,845,1000,1005,56,LAX,RNO,390
2008,1,3,4,1422,1400,1532,1520,60,LAX,RNO,390
2008,1,3,4,1159,1150,1635,1635,141,LAX,SAT,1210
2008,1,3,4,708,710,829,835,61,LAX,SFO,337
2008,1,3,4,,905,,1025,,LAX,SFO,337
2008,1,3,4,2321,1955,38,2115,65,LAX,SFO,337
2008,1,3,4,,1620,,1740,,LAX,SFO,337
2008,1,3,4,2008,1805,2139,1930,70,LAX,SFO,337
2008,1,3,4,1625,1430,1748,1550,67,LAX,SFO,337
2008,1,3,4,1305,1050,1421,1210,63,LAX,SFO,337
2008,1,3,4,1558,1245,1709,1405,60,LAX,SFO,337
2008,1,3,4,1600,1455,1714,1600,54,LAX,SJC,308
2008,1,3,4,1556,1525,1705,1630,53,LAX,SJC,308
2008,1,3,4,2056,2000,2203,2105,56,LAX,SJC,308
2008,1,3,4,616,615,720,720,51,LAX,SJC,308
2008,1,3,4,1159,1130,1259,1235,48,LAX,SJC,308
2008,1,3,4,2140,2035,2249,2140,54,LAX,SJC,308
2008,1,3,4,1455,1425,1557,1530,49,LAX,SJC,308
2008,1,3,4,908,910,1005,1015,48,LAX,SJC,308
2008,1,3,4,1925,1825,2024,1930,49,LAX,SJC,308
2008,1,3,4,,1930,,2035,,LAX,SJC,308
2008,1,3,4,740,740,838,850,49,LAX,SJC,308
2008,1,3,4,1311,1240,1414,1350,53,LAX,SJC,308
2008,1,3,4,1014,1000,1120,1105,51,LAX,SJC,308
2008,1,3,4,1709,1700,1815,1805,55,LAX,SJC,308
2008,1,3,4,1357,1330,1626,1615,79,LAX,SLC,590
2008,1,3,4,1114,1045,1347,1330,80,LAX,SLC,590
2008,1,3,4,652,650,926,940,81,LAX,SLC,590
2008,1,3,4,2117,2010,2355,2255,84,LAX,SLC,590
2008,1,3,4,1742,1650,2021,1935,82,LAX,SLC,590
2008,1,3,4,1108,1100,1226,1220,59,LAX,SMF,373
2008,1,3,4,821,810,936,930,59,LAX,SMF,373
2008,1,3,4,2013,1910,2121,2025,58,LAX,SMF,373
2008,1,3,4,609,610,722,735,55,LAX,SMF,373
2008,1,3,4,949,900,1103,1020,61,LAX,SMF,373
